subject_num,Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q5,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q6,Q60,Q7,Q8,Q9,agreeableness,conscientiousness,extraversion,neuroticism,openess
63,4,5,5,2,2,4,5,3,4,5,3,4,4,1,4,2,1,2,2,3,1,3,4,4,2,3,2,4,4,3,4,3,3,4,5,4,4,1,,4,3,4,2,4,3,5,3,4,4,2,5,2,4,2,3,3,3,2,1,2,33,49,42,35,29
65,4,5,4,3,4,5,4,2,4,5,4,3,4,2,3,5,2,4,2,3,5,2,4,4,3,3,2,5,5,4,4,5,4,5,5,2,5,4,,5,2,4,5,5,4,5,1,4,5,3,5,1,3,5,4,1,5,5,3,4,43,55,44,28,52
66,4,4,3,4,2,5,4,4,5,4,5,4,4,3,3,4,4,5,2,4,4,5,4,3,4,3,3,4,5,2,5,1,5,5,5,2,4,2,,4,2,3,3,5,5,4,2,3,4,5,5,1,4,1,5,3,5,4,2,4,52,53,46,32,34
68,3,4,2,5,4,5,5,4,5,5,2,3,4,2,4,3,3,3,2,2,5,2,5,3,4,4,2,5,4,2,4,5,5,5,4,2,5,2,,4,4,4,5,5,5,4,2,3,5,4,4,2,2,5,4,2,5,5,2,4,44,49,46,31,48
71,5,5,5,2,1,2,4,4,5,5,4,4,5,4,4,1,3,5,2,3,2,4,4,2,5,4,1,4,5,2,3,5,4,4,5,2,4,1,,4,4,5,4,5,2,5,2,4,5,2,4,2,5,2,1,2,5,4,1,2,35,51,47,39,32
72,4,3,5,2,3,4,4,3,4,4,5,4,4,4,3,1,4,5,1,2,2,5,5,1,3,4,3,5,3,2,3,5,3,5,4,4,3,1,0.0,2,3,2,3,5,4,4,3,3,4,4,4,1,4,2,5,3,5,5,1,5,50,43,39,36,34
73,5,2,5,3,5,3,2,5,3,4,3,3,4,5,5,5,1,3,5,4,1,3,5,1,5,3,1,3,4,4,2,3,4,4,3,4,2,5,0.0,1,4,3,5,5,3,4,5,3,5,5,3,4,4,5,3,5,5,5,3,4,38,35,40,56,47
74,4,4,4,3,4,2,4,4,4,5,2,2,4,3,3,3,2,5,2,1,5,2,3,4,3,2,2,4,4,2,2,2,2,4,5,1,2,2,0.0,5,4,4,5,4,3,5,1,2,5,2,5,2,2,5,1,1,5,4,2,3,28,53,31,31,43
75,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,4,3,3,4,2,4,3,3,3,4,2,2,4,4,2,4,4,4,4,4,2,3,4,0.0,4,4,2,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,2,4,42,46,37,40,43
76,4,3,4,2,3,4,3,4,3,3,5,3,4,2,3,3,2,3,3,3,2,2,1,3,3,3,4,4,3,4,3,3,4,5,4,2,3,2,0.0,4,2,4,3,4,3,4,2,3,4,3,4,3,2,3,4,3,4,3,2,5,42,42,35,36,33
77,3,2,1,4,4,3,4,2,3,4,4,2,4,3,2,5,2,3,2,2,2,3,4,1,4,2,2,4,4,2,5,2,2,3,4,2,5,4,0.0,4,1,3,4,4,5,4,2,3,5,4,5,3,2,4,4,2,4,5,2,4,37,44,38,27,42
78,5,4,3,3,5,4,4,5,4,4,5,3,5,2,2,5,2,3,3,4,5,4,4,2,5,3,1,5,3,4,5,4,4,5,4,3,4,4,0.0,2,4,4,4,5,4,4,1,4,4,4,4,4,2,5,4,4,4,5,2,5,47,43,43,43,47
80,4,4,4,3,4,4,4,5,4,5,5,4,5,3,3,3,4,5,2,4,3,2,3,4,4,3,2,4,4,2,5,3,5,5,4,3,4,5,0.0,3,5,4,5,5,4,4,3,5,5,4,4,3,4,4,3,3,4,5,1,4,45,49,48,41,43
82,3,3,2,3,3,4,4,2,3,4,3,3,4,2,3,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,0.0,3,2,3,3,3,3,3,3,4,2,4,4,2,3,3,4,2,4,3,2,4,39,39,37,29,36
89,4,1,4,2,4,4,3,4,2,3,4,3,3,2,3,4,1,2,4,3,4,2,4,1,4,2,2,4,3,4,3,5,4,5,3,4,2,5,0.0,2,5,4,5,5,2,2,3,3,4,4,2,3,3,4,2,3,3,2,2,4,39,27,32,44,46
90,4,5,5,2,2,1,5,5,5,5,2,4,4,4,2,1,1,5,4,1,5,1,5,4,4,4,2,3,3,4,4,2,1,5,5,5,1,2,0.0,5,5,2,4,5,3,5,1,5,5,1,4,5,4,4,1,5,5,5,1,4,25,53,39,51,38
97,5,4,5,3,5,4,4,5,5,5,5,2,4,3,4,3,2,5,4,2,5,2,3,4,5,2,2,4,5,3,4,3,4,3,4,4,3,3,0.0,5,4,4,5,4,2,5,3,4,5,3,4,3,4,4,4,2,5,5,2,3,38,51,42,46,45
